config,arm,seed,participation_rate,basin,honest_given_rating,attacks_attempted_stored,total_ratings_final_ep,mean_score_stored,attacks_attempted,attacks_blocked,hold_rate,rho_defined,rho_stored,rho_recomputed,rho_matches_stored,mae_stored,score_std,n_distinct_scores,qual_std,n_score_points,rescore_ok
c11,A,4,0.66,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,5,0.98,adversarial-dominant,0.22448979591836735,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,6,0.98,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,7,0.98,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,8,0.626875,honest-dominant,1.0,0,1227,0.19943707971786068,0,0,,1,-0.8865241032756455,-0.8865241032756455,1,0.5920860748850864,0.1279101835356454,400,0.12266628813573002,400,1
c11,A,9,1.0,honest-dominant,1.0,0,2000,0.7086072648779614,0,0,,1,0.8482969268557928,0.8482969268557928,1,0.10312407902660542,0.09877780557380669,400,0.12266628813573002,400,1
c11,A,10,0.47315,honest-dominant,1.0,0,953,0.30752915390920715,0,0,,1,-0.7409382558640992,-0.7409382558640992,1,0.5004535370376891,0.10256102221053442,400,0.12266628813573002,400,1
c11,A,11,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,12,0.87,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,13,0.63,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,14,0.98,adversarial-dominant,0.9285714285714286,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,15,0.98,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,16,0.98,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,17,0.94,adversarial-dominant,0.0,40,0,0.5,800,0,0.0,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,18,0.98,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,19,0.98,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,20,1.0,honest-dominant,1.0,0,2000,0.188785809581536,0,0,,1,-0.924798904993156,-0.924798904993156,1,0.594403173909608,0.12775893499698046,400,0.12266628813573002,400,1
c11,A,21,1.0,adversarial-dominant,0.0,0,159,0.14941194041787328,0,0,,1,-0.030927380796129975,-0.030927380796129975,1,0.6499422487430044,0.044855667423624845,400,0.12266628813573002,400,1
c11,A,22,0.84685,honest-dominant,1.0,0,1629,0.8109384751719327,0,0,,1,0.924023025143907,0.924023025143907,1,0.034786759690348584,0.12427662914268743,400,0.12266628813573002,400,1
c11,A,23,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,24,0.98,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,25,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,26,0.98,adversarial-dominant,0.04081632653061224,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,27,0.4446,honest-dominant,1.0,0,956,0.8167925079696057,0,0,,1,0.8799632497703109,0.8799632497703109,1,0.04481101682432179,0.13176391977159752,400,0.12266628813573002,400,1
c11,A,28,0.98,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,A,29,0.44,adversarial-dominant,0.0,70,0,0.5,1400,400,0.2857142857142857,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,B,0,0.997275,honest-dominant,1.0,0,2000,0.2642307875783225,5,5,1.0,1,-0.8729945812161325,-0.8729945812161325,1,0.5323568479101038,0.10369031001069719,400,0.12266628813573002,400,1
c11,B,1,0.998025,honest-dominant,1.0,0,2000,0.8130772100834565,40,40,1.0,1,0.9408566928543304,0.9408566928543304,1,0.030526890925335923,0.1292284073963704,400,0.12266628813573002,400,1
c11,B,2,0.9983,honest-dominant,0.9980216367825303,0,2000,0.20556440405050685,12,11,0.9166666666666666,1,-0.9134218963868523,-0.9134218963868523,1,0.580656192733401,0.12049068364842361,400,0.12266628813573002,400,1
c11,B,3,1.0,honest-dominant,1.0,0,2000,0.5870365871707767,0,0,,1,0.5914478840492753,0.5914478840492753,1,0.21010206400142642,0.06789000518833711,400,0.12266628813573002,400,1
c11,B,4,0.94105,honest-dominant,1.0,11,1857,0.1932682250030825,180,180,1.0,1,-0.926234788967431,-0.926234788967431,1,0.5944171716254987,0.12599068862103768,400,0.12266628813573002,400,1
c11,B,5,1.0,honest-dominant,1.0,0,2000,0.49735745301138434,0,0,,1,-0.08355089719310746,-0.08355089719310746,1,0.3169261890958176,0.05445277194214802,400,0.12266628813573002,400,1
c11,B,6,1.0,honest-dominant,0.979325,0,2000,0.3895958056975396,0,0,,1,-0.611374946093413,-0.611374946093413,1,0.40875367899597687,0.06285209414538737,400,0.12266628813573002,400,1
c11,B,7,1.0,honest-dominant,1.0,0,2000,0.5755916601845186,0,0,,1,0.4508291301820636,0.4508291301820636,1,0.20838624942021816,0.07984917831300657,400,0.12266628813573002,400,1
c11,B,8,1.0,honest-dominant,1.0,0,2000,0.732741961922948,0,0,,1,0.8620981381133631,0.8620981381133631,1,0.08725162328489162,0.09943137701516166,400,0.12266628813573002,400,1
c11,B,9,1.0,honest-dominant,1.0,0,2000,0.4465191217075228,0,0,,1,-0.355608722554516,-0.355608722554516,1,0.35355825909673017,0.0582980803174629,400,0.12266628813573002,400,1
c11,B,10,0.0,abstention,,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,B,11,1.0,honest-dominant,1.0,0,2000,0.2533892386704735,0,0,,1,-0.8677342358389739,-0.8677342358389739,1,0.5341294234168911,0.10791304311802269,400,0.12266628813573002,400,1
c11,B,12,1.0,honest-dominant,1.0,0,2000,0.3381976401033049,0,0,,1,-0.73619485121782,-0.73619485121782,1,0.45804583923607045,0.08501331255581705,400,0.12266628813573002,400,1
c11,B,13,1.0,honest-dominant,1.0,0,2000,0.43629314475925574,0,0,,1,-0.4795563722273264,-0.4795563722273264,1,0.37424522346653377,0.06581959756347333,400,0.12266628813573002,400,1
c11,B,14,0.999975,honest-dominant,0.9646741168529214,0,2000,0.5591325738860242,1,1,1.0,1,0.2837916486978044,0.2837916486978044,1,0.23152542084222097,0.061395490918790936,400,0.12266628813573002,400,1
c11,B,15,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c11,B,16,0.988725,honest-dominant,1.0,0,1965,0.18668834892796402,0,0,,1,-0.9243856524103274,-0.9243856524103274,1,0.5950313023986931,0.12723873044772313,400,0.12266628813573002,400,1
c11,B,17,1.0,honest-dominant,0.999975,0,2000,0.7981626964501025,0,0,,1,0.9301530009562559,0.9301530009562559,1,0.03457360601079875,0.12439001236931063,400,0.12266628813573002,400,1
c11,B,18,1.0,honest-dominant,1.0,0,2000,0.47817703920167876,0,0,,1,-0.26649335308345673,-0.26649335308345673,1,0.32228646995370674,0.057478026395645865,400,0.12266628813573002,400,1
c11,B,19,1.0,honest-dominant,0.9809,0,2000,0.3096490078907039,0,0,,1,-0.8247874674216713,-0.8247874674216713,1,0.49959823934108166,0.09247785428690253,400,0.12266628813573002,400,1
c11,B,20,1.0,honest-dominant,1.0,0,2000,0.8130772100834565,0,0,,1,0.9397217482609265,0.9397217482609265,1,0.031216140618913996,0.1287636877321209,400,0.12266628813573002,400,1
c11,B,21,0.98,adversarial-dominant,0.8163265306122449,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,B,22,0.98,adversarial-dominant,0.5816326530612245,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,B,23,0.999975,honest-dominant,1.0,0,2000,0.3618872869037911,0,0,,1,-0.6835424596403727,-0.6835424596403727,1,0.44406438534246306,0.08006635113665346,400,0.12266628813573002,400,1
c11,B,24,0.73,adversarial-dominant,0.0,0,0,0.5,0,0,,0,,,1,0.30242684572844797,0.0,1,0.12266628813573002,400,1
c11,B,25,1.0,honest-dominant,1.0,0,2000,0.49162908386748133,0,0,,1,-0.07548890930568315,-0.07548890930568315,1,0.30982609809519823,0.057057545840070154,400,0.12266628813573002,400,1
