config,arm,seed,participation_rate,basin,mean_ci_width,n_alpha_plus_beta,applied_evidence,all_scores_half,total_ratings_last_ep,rating_actions,total_actions,applied_per_agent_step,n_agents,rho_defined
c2,B,16,1.0,honest-dominant,0.09793796155992472,369.94900352386674,365.94900352386674,0,2000,40000,40000,1.0,20,1
c2,B,17,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c2,B,18,1.0,honest-dominant,0.13524683440780316,196.6124179795796,192.6124179795796,0,2000,40000,40000,1.0,20,1
c2,B,19,1.0,honest-dominant,0.1653004545787302,118.44312018676395,114.44312018676395,0,2000,40000,40000,1.0,20,1
c2,B,20,1.0,honest-dominant,0.08492611715484548,388.12822923512664,384.12822923512664,0,2000,40000,40000,1.0,20,1
c2,B,21,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c2,B,22,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c2,B,23,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c2,B,24,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c2,B,25,1.0,honest-dominant,0.1355744205177623,110.4194321855415,106.4194321855415,0,2000,40000,40000,1.0,20,1
c2,B,26,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c2,B,27,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c2,B,28,1.0,honest-dominant,0.14257688031095175,110.97406093070889,106.97406093070889,0,2000,40000,40000,1.0,20,1
c2,B,29,1.0,honest-dominant,0.13852993398726238,110.61766142510177,106.61766142510177,0,2000,40000,40000,1.0,20,1
c3,A,0,0.671175,honest-dominant,0.10833636907989805,222.7836077216693,218.7836077216693,0,1341,26847,40000,0.6705,20,1
c3,A,1,0.777475,honest-dominant,0.07871862815507084,309.1235942661294,305.1235942661294,0,1581,31099,40000,0.7905,20,1
c3,A,2,0.617525,honest-dominant,0.08969927973655785,237.66555476078048,233.66555476078048,0,1239,24701,40000,0.6195,20,1
c3,A,3,0.586825,honest-dominant,0.1063445865864586,209.87023842967946,205.87023842967946,0,1184,23473,40000,0.592,20,1
c3,A,4,0.604675,honest-dominant,0.0904483783211246,233.77146647086894,229.77146647086894,0,1212,24187,40000,0.606,20,1
c3,A,5,0.57275,honest-dominant,0.09358265558113002,219.85783711292538,215.85783711292538,0,1149,22910,40000,0.5745,20,1
c3,A,6,0.386375,honest-dominant,0.21530939603138693,75.34682956385538,71.34682956385538,0,766,15455,40000,0.383,20,1
c3,A,7,0.29735,honest-dominant,0.10497821707079598,181.92003476043024,177.92003476043024,0,941,11894,40000,0.4705,20,1
c3,A,8,1.0,honest-dominant,0.07112738405741877,389.215753422146,385.215753422146,0,2000,40000,40000,1.0,20,1
c3,A,9,0.0,abstention,0.699928582359657,4.0,0.0,1,0,0,40000,0.0,20,0
c3,A,10,0.609875,honest-dominant,0.20504281699083365,80.90541957096181,76.90541957096181,0,1242,24395,40000,0.621,20,1
c3,A,11,0.556575,honest-dominant,0.13094028621931972,148.863719902616,144.863719902616,0,1110,22263,40000,0.555,20,1
c3,A,12,0.59975,honest-dominant,0.15478271448976427,127.51759083586981,123.51759083586981,0,1196,23990,40000,0.598,20,1
c3,A,13,0.55935,honest-dominant,0.12485997871952444,178.97905382365582,174.97905382365582,0,1133,22374,40000,0.5665,20,1
c3,A,14,0.523825,honest-dominant,0.09640387686563648,202.063031714004,198.063031714004,0,1046,20953,40000,0.523,20,1
c3,A,15,0.2453,honest-dominant,0.15643192464316952,87.14954637710852,83.14954637710852,0,507,9812,40000,0.2535,20,1
c3,A,16,0.96695,honest-dominant,0.1387380433544088,104.53247437543067,100.53247437543067,0,1873,38678,40000,0.9365,20,1
c3,A,17,0.432275,honest-dominant,0.1783668811345018,114.31124879374482,110.31124879374482,0,882,17291,40000,0.441,20,1
c3,A,18,0.52085,honest-dominant,0.11231793817436406,186.0586984566576,182.0586984566576,0,1012,20834,40000,0.506,20,1
c3,A,19,1.0,honest-dominant,0.12301386968222158,180.61610537904673,176.61610537904673,0,2000,40000,40000,1.0,20,1
c3,A,20,0.710625,honest-dominant,0.15004739154966487,133.63085155316136,129.63085155316136,0,1386,28425,40000,0.693,20,1
c3,A,21,0.508625,honest-dominant,0.10108373487388347,195.11357836552207,191.11357836552207,0,1011,20345,40000,0.5055,20,1
c3,A,22,0.50355,honest-dominant,0.17740831075256516,64.10203784577708,60.102037845777076,0,1044,20142,40000,0.522,20,1
c3,A,23,0.52395,honest-dominant,0.16185298672983858,78.28776201448537,74.28776201448537,0,1261,20958,40000,0.6305,20,1
c3,A,24,0.8214,honest-dominant,0.13347751170545175,168.444084701818,164.444084701818,0,1642,32856,40000,0.821,20,1
c3,A,25,0.292575,honest-dominant,0.21297817670411914,61.612058648903094,57.612058648903094,0,611,11703,40000,0.3055,20,1
c3,A,26,0.31325,honest-dominant,0.22515820060785313,45.47890826195912,41.47890826195912,0,620,12530,40000,0.31,20,1
c3,A,27,0.925525,honest-dominant,0.07525120504424085,347.7292456944181,343.7292456944181,0,1747,37021,40000,0.8735,20,1
c3,A,28,0.9996,honest-dominant,0.13559748274432853,110.39992720973925,106.39992720973925,0,1999,39984,40000,0.9995,20,1
c3,A,29,0.9772,honest-dominant,0.11986744308176116,258.36841107045734,254.36841107045734,0,1987,39088,40000,0.9935,20,1
c3,B,0,1.0,honest-dominant,0.16681402229345474,120.6460160712696,116.6460160712696,0,2000,40000,40000,1.0,20,1
