config,arm,seed,rho,tau_a,score_std,collapsed
c2,B,16,0.5836330227063918,0.4180701754385965,0.06664012809702755,0
c2,B,17,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c2,B,18,0.4913505709410683,0.3449874686716792,0.06260500077436766,0
c2,B,19,-0.6805598784992406,-0.49759398496240603,0.08072407182018275,0
c2,B,20,0.8618738867117919,0.6789724310776942,0.0987720705949705,0
c2,B,21,,0.0,0.0,1
c2,B,22,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c2,B,23,,0.0,0.0,1
c2,B,24,,0.0,0.0,1
c2,B,25,-0.924798904993156,-0.7687468671679198,0.12775893499698046,0
c2,B,26,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c2,B,27,,0.0,0.0,1
c2,B,28,-0.9001078131738323,-0.7321052631578947,0.12105384870537177,0
c2,B,29,-0.9164939155869724,-0.7557142857142857,0.12456217394704301,0
c3,A,0,0.8361451634072711,0.6487468671679198,0.10957685149804969,0
c3,A,1,0.934040650254064,0.7824812030075188,0.13073554534480658,0
c3,A,2,0.9162421015131343,0.7536591478696741,0.12947922492430833,0
c3,A,3,0.8561989762436014,0.6709774436090226,0.11574519408981074,0
c3,A,4,0.9299604372527327,0.7709273182957393,0.13019156987482694,0
c3,A,5,0.9041173382333638,0.7323558897243108,0.1313868702421367,0
c3,A,6,0.1989428683929274,0.13288220551378446,0.08946686562880828,0
c3,A,7,0.8114124463277894,0.6202255639097745,0.13538680748691972,0
c3,A,8,0.9397217482609265,0.7923809523809524,0.1287636877321209,0
c3,A,9,,0.0,0.0,1
c3,A,10,-0.5632797704985655,-0.398922305764411,0.08375214727411023,0
c3,A,11,0.8028693304333152,0.6116290726817043,0.11177219160705713,0
c3,A,12,-0.7046719666997919,-0.5166917293233083,0.0927441988740936,0
c3,A,13,0.8145195282470515,0.6284962406015038,0.11681693215814151,0
c3,A,14,0.9034533965837286,0.7323308270676692,0.12361341059272186,0
c3,A,15,0.8147104044400276,0.6255639097744361,0.13850061639904837,0
c3,A,16,-0.917134982093638,-0.7570175438596491,0.12476044155094206,0
c3,A,17,0.09663810398814991,0.06601503759398496,0.07644146620588028,0
c3,A,18,0.8676826730167062,0.6843609022556391,0.11875295775113177,0
c3,A,19,-0.8619066994168713,-0.6807769423558897,0.10313373821987566,0
c3,A,20,-0.8294971218570116,-0.6344360902255639,0.1040748712846699,0
c3,A,21,0.8975626722667016,0.724812030075188,0.13079938098701122,0
c3,A,22,-0.8770806067537922,-0.6955388471177945,0.12504852901871522,0
c3,A,23,-0.8606995668722929,-0.6801503759398496,0.12723707463611847,0
